Available,Cost,Event name,Category,Organizer,Date,Time,Location,Photo,Summary
Y,,史研導賞團 - 郵歷龍城,05. 認識香港,hkhistory_org,23/6,2-4:30pm,九龍城,,【史研導賞團 - 郵歷龍城】 @hkhistory_org | 23/6 | 九龍城
Y,,Culture & Corks Vol.17: 只能做設計？建築師轉跑道！,04. 香港人/社區/文化,kongcept852,23/6,11:30am-1pm,commaa,,【Culture & Corks Vol.17: 只能做設計？建築師轉跑道！】 @kongcept852 | 23/6 | commaa
Y,,Zine to Coffee,01. 與書相遇,breathe.island.home,23/6,1-6pm,Wara Wara,,【Zine to Coffee】 @breathe.island.home | 23/6 | Wara Wara
Y,,我們為何努力？,01. 與書相遇,thought_pot_,23/6,2:30-4:30pm,太子,,【我們為何努力？】 @thought_pot_ | 23/6 | 太子
Y,,上環生死導賞團 - 我們死在一百年前,05. 認識香港,travpholer,23/6,2:30-4pm,上環,,【上環生死導賞團 - 我們死在一百年前】 @travpholer | 23/6 | 上環
Y,,古蹟繪本工作坊——一起想繪本分享會,04. 香港人/社區/文化,excohk,23/6,2-3:15pm,遊展工作室,,【古蹟繪本工作坊——一起想繪本分享會】 @excohk | 23/6 | 遊展工作室
Y,,六月棟篤笑Open mic——笑旅時代 - Open mic @giggle_generation,15. 音樂,hkc_comedy,23/6,6-8pm,Busybird 灣仔聖佛蘭士街10號地舖,,【六月棟篤笑Open mic——笑旅時代 - Open mic @giggle_generation】 @hkc_comedy | 23/6 | Busybird 灣仔聖佛蘭士街10號地舖
Y,,六月棟篤笑Open mic——爆笑館 - Work in progress show @halloflaughshk,15. 音樂,hkc_comedy,23/6,7-9pm,The Aftermath 中環雲咸街57-59號低層地舖,,【六月棟篤笑Open mic——爆笑館 - Work in progress show @halloflaughshk】 @hkc_comedy | 23/6 | The Aftermath 中環雲咸街57-59號低層地舖
Y,,大埔人大埔貓 領養日,08. 環保與大自然,tpptpc,23/6,2-5pm,大埔懷仁街41號閣樓 大叔辦事處,,【大埔人大埔貓 領養日】 @tpptpc | 23/6 | 大埔懷仁街41號閣樓 大叔辦事處
Y,,掌門 x AfterGlowArt Stuido 香水工作坊,12. 整下野,zhangmenhk,23/6,5-7:30pm,掌門 (旺角店),,【掌門 x AfterGlowArt Stuido 香水工作坊】 @zhangmenhk | 23/6 | 掌門 (旺角店)
Y,,躝街躝去將軍澳,05. 認識香港,hans.bookstorehk,23/6,2:30-5pm,將軍澳,,【躝街躝去將軍澳】 @hans.bookstorehk | 23/6 | 將軍澳
Y,,青春需要誇—跨青真人圖書館,09. 性別/關係,hkss.gsc,23/6,1-6pm,Eaton HK 逸東酒店,,【青春需要誇—跨青真人圖書館】 @hkss.gsc | 23/6 | Eaton HK 逸東酒店
Y,,Sunday Story Telling,10. 親子關係,urbanroom.social,23/6,2pm,鰂魚涌 . 城舍,,【Sunday Story Telling】 @urbanroom.social | 23/6 | 鰂魚涌 . 城舍
Y,,二手漂書市集,02. 好書血拼,urbanroom.social,23/6,1-7pm,鰂魚涌 . 城舍,,【二手漂書市集】 @urbanroom.social | 23/6 | 鰂魚涌 . 城舍
Y,,Singer Songwriter Afternoon: Tomii,04. 香港人/社區/文化,goodlab,23/6,2:30-5pm,The Future Workshop @ 荔枝角青山道700號時運中心1303室,,【Singer Songwriter Afternoon: Tomii】 @goodlab | 23/6 | The Future Workshop @ 荔枝角青山道700號時運中心1303室
Y,,,15. 音樂,kindofbrewhk,23/6,3-4:30pm,Kind of Brew,,【】 @kindofbrewhk | 23/6 | Kind of Brew
Y,,Clothing Repair & Upcycling Workshop,12. 整下野,gwobean,23/6,1-3:30pm,,,【Clothing Repair & Upcycling Workshop】 @gwobean | 23/6 | 
Y,,LUMOS Live Music Show - Jacky,15. 音樂,lumos.restaurantandbar,23/6,7:30-10:30pm,LUMOS Restaurant and Bar,,【LUMOS Live Music Show - Jacky】 @lumos.restaurantandbar | 23/6 | LUMOS Restaurant and Bar
Y,,新書分享會(三) 《BAD ACTiNG - 踢走爛演技的5堂課》,07. 藝術野,o_theatre_workshop,23/6,5:30-7pm,誠品銅鑼灣,,【新書分享會(三) 《BAD ACTiNG - 踢走爛演技的5堂課》】 @o_theatre_workshop | 23/6 | 誠品銅鑼灣
Y,Free,天文電影《智能中國：前沿科學—變動中的地球》,17. 其他,hkspacem,23/6,3-4pm,香港太空館演講廳,Snapinsta.app_444486111_872047964961745_5043142391848538361_n_1024,【天文電影《智能中國：前沿科學—變動中的地球》】 @hkspacem | 23/6 | 香港太空館演講廳
Y,Free,天文電影《尋找太空邊緣》,17. 其他,hkspacem,23/6,4:30-5:30pm,香港太空館演講廳,Snapinsta.app_444486111_872047964961745_5043142391848538361_n_1024,【天文電影《尋找太空邊緣》】 @hkspacem | 23/6 | 香港太空館演講廳
Y,,靜心 x 水彩寫生課程,11. 身心靈,mindful_still_together,"23/6, 30/6, 7/7, 14/7, 11/8 18/8 25/8 1/9",1-4pm,如舍,,"【靜心 x 水彩寫生課程】 @mindful_still_together | 23/6, 30/6, 7/7, 14/7, 11/8 18/8 25/8 1/9 | 如舍"
Y,,遺物轉化工作坊 - 用線連繫回憶,11. 身心靈,hkhsws,"23/6, 30/6",1:30-5pm,彌敦道337-339號金滿樓4E,,"【遺物轉化工作坊 - 用線連繫回憶】 @hkhsws | 23/6, 30/6 | 彌敦道337-339號金滿樓4E"
Y,,超八米厘菲林工作坊,17. 其他,filmculturecentre_hk,"23, 29/6, 6, 20/7",,電影文化中心會址,,"【超八米厘菲林工作坊】 @filmculturecentre_hk | 23, 29/6, 6, 20/7 | 電影文化中心會址"
Y,,本地回收木材Bongo Cajon木箱鼓工作坊,12. 整下野,cahk1968,"23/6, 30/6",9:30-12:30pm / 3-6pm,CC Guitar Studio,,"【本地回收木材Bongo Cajon木箱鼓工作坊】 @cahk1968 | 23/6, 30/6 | CC Guitar Studio"
Y,,filmclub23 TAKE 1 / 孤獨練習,01. 與書相遇,jisaam.books,"17/6, 24/6, 1/7",7:30-9pm,貳叄書房油麻地店,,"【filmclub23 TAKE 1 / 孤獨練習】 @jisaam.books | 17/6, 24/6, 1/7 | 貳叄書房油麻地店"
Y,,6月繪本專題zoom課程——繪本可以講道理嗎？,01. 與書相遇,roomforlife2020,24/6,8-10pm,online,,【6月繪本專題zoom課程——繪本可以講道理嗎？】 @roomforlife2020 | 24/6 | online
Y,,JUNE Book Club Meetup,01. 與書相遇,hongkongreaders,24/6,7pm,Delaneys TST,,【JUNE Book Club Meetup】 @hongkongreaders | 24/6 | Delaneys TST
Y,,哲學生活課程：《藝術賞析》,07. 藝術野,philosophy_n_life,24/6-22/7,8-10pm,online,,【哲學生活課程：《藝術賞析》】 @philosophy_n_life | 24/6-22/7 | online
Y,,《動物志》 讀書會│陳家富,01. 與書相遇,vwlink.hk,"4, 11, 18, 25/6",7:30-9:30pm,online,,"【《動物志》 讀書會│陳家富】 @vwlink.hk | 4, 11, 18, 25/6 | online"
Y,,自然瑜伽伸展體驗 ,04. 香港人/社區/文化,highrock_stewards,"11, 18, 25/6",10am-12pm,香港神託會靈基營,,"【自然瑜伽伸展體驗 】 @highrock_stewards | 11, 18, 25/6 | 香港神託會靈基營"
Y,, Stone Fitness x 聯和市場嘅 HIIT Night Class,13. 運動下,luenwomarket.hk,"18/6, 25/6",7:15-8:15pm,聯和市場,,"【 Stone Fitness x 聯和市場嘅 HIIT Night Class】 @luenwomarket.hk | 18/6, 25/6 | 聯和市場"
Y,,6月縫補寶車縫班,12. 整下野,intimeofhk,25/6,,AIRSIDE,,【6月縫補寶車縫班】 @intimeofhk | 25/6 | AIRSIDE
Y,,Afro-Japan Fusion Dinner,06. 留在香港 環遊世界,africacenterhk,25/6,5-9pm,Africa Center HK,,【Afro-Japan Fusion Dinner】 @africacenterhk | 25/6 | Africa Center HK
Y,,CDC Workshops: Screentime and early writing; mark making,10. 親子關係,cdchongkong,25/6,12:30-1:30pm,CDC North Point Center,,【CDC Workshops: Screentime and early writing; mark making】 @cdchongkong | 25/6 | CDC North Point Center
Y,,粵難越做：香港廣播劇的興盛和不滅,07. 藝術野,hok6dotcom,25/6,8:30-10:30pm,online,,【粵難越做：香港廣播劇的興盛和不滅】 @hok6dotcom | 25/6 | online
Y,,素行戈壁——線下分享會,06. 留在香港 環遊世界,ben_sir_dr_ben,25/6,6:30-8:30pm,上環德輔道中244至248號東協商業大廈,,【素行戈壁——線下分享會】 @ben_sir_dr_ben | 25/6 | 上環德輔道中244至248號東協商業大廈
Y,,《荔枝窩的信件》解謎遊戲,05. 認識香港,cahk1968,25/6,11am-2pm,荔枝窩村農區,,【《荔枝窩的信件》解謎遊戲】 @cahk1968 | 25/6 | 荔枝窩村農區
Y,,自卑與超越─阿德勒的「勇氣心理學」,01. 與書相遇,philosophy_n_life,"25/6, 2/7",7:30-9:30pm,界限書店,,"【自卑與超越─阿德勒的「勇氣心理學」】 @philosophy_n_life | 25/6, 2/7 | 界限書店"
Y,,桌遊培訓實戰系列課程——走出家庭的鬥獸場,10. 親子關係,empowernext,"25/6, 26/6",6:45-9pm,天道書樓,,"【桌遊培訓實戰系列課程——走出家庭的鬥獸場】 @empowernext | 25/6, 26/6 | 天道書樓"
Y,,AdorableHongKong主題保良局市集,,yansquareheaven,25-26/6,,尖沙咀香港文化中心,,【AdorableHongKong主題保良局市集】 @yansquareheaven | 25-26/6 | 尖沙咀香港文化中心
Y,,「聯和趁墟」週末農墟,,luenwomarket.hk,25-26/6,10am-3:30pm,聯和趁墟,,【「聯和趁墟」週末農墟】 @luenwomarket.hk | 25-26/6 | 聯和趁墟
Y,,《重建共善：現代社羣關係的再想像》讀書會,01. 與書相遇,hk_nomads,"26/3, 26/4, 24/5, 26/6",8-10pm,獵人書店,,"【《重建共善：現代社羣關係的再想像》讀書會】 @hk_nomads | 26/3, 26/4, 24/5, 26/6 | 獵人書店"
Y,,海洋手工皂 x 單身交友工作坊,12. 整下野,breathe.meh,"27/4, 26/5, 26/6",2:30-5pm,鑽石山,,"【海洋手工皂 x 單身交友工作坊】 @breathe.meh | 27/4, 26/5, 26/6 | 鑽石山"
Y,,淺水區 - Jam Session,15. 音樂,fountaindechopin,26/6,8pm,Fountain,,【淺水區 - Jam Session】 @fountaindechopin | 26/6 | Fountain
Y,,Denden Karadeniz 當代舞x霹靂舞工作坊,,freespace_wk,26/6,7:30pm,西九文化區自由空間細盒,,【Denden Karadeniz 當代舞x霹靂舞工作坊】 @freespace_wk | 26/6 | 西九文化區自由空間細盒
Y,,中大餘香：香氣、回憶導賞團,05. 認識香港,worldwander_hk,26/6,2:30-4pm,中大,,【中大餘香：香氣、回憶導賞團】 @worldwander_hk | 26/6 | 中大
Y,,另一種性別 : 雙性人,09. 性別/關係,mindfuljazz,26/6,9-10pm,online,,【另一種性別 : 雙性人】 @mindfuljazz | 26/6 | online
Y,,街坊師傅-神奇潔廁炸彈,12. 整下野,jieyeah1_1,26/6,7:30-8:30pm,太子,,【街坊師傅-神奇潔廁炸彈】 @jieyeah1_1 | 26/6 | 太子
Y,Free,「環島在一起。步捉香港美」創意攝影工作坊,05. 認識香港,warehouseteenageclub,26/6,2-6pm,環島長廊,Snapinsta.app_447787124_438357702279804_9037433608274397577_n_1024,【「環島在一起。步捉香港美」創意攝影工作坊】 @warehouseteenageclub | 26/6 | 環島長廊
Y,,未園湖濱的感官世界：中大餘香導賞團,05. 認識香港,worldwander_hk,26/6,2:30-4pm,中大,,【未園湖濱的感官世界：中大餘香導賞團】 @worldwander_hk | 26/6 | 中大
Y,,六月棟篤笑Open mic——離譜喜劇 - 開放麥 (普通話) @leapcomedyhk,15. 音樂,hkc_comedy,26/6,8-9:30pm,The Aftermath 中環雲咸街57-59號低層地舖,,【六月棟篤笑Open mic——離譜喜劇 - 開放麥 (普通話) @leapcomedyhk】 @hkc_comedy | 26/6 | The Aftermath 中環雲咸街57-59號低層地舖
Y,,論壇——從哪裡談起？香港女同志的身份、連結與需要,09. 性別/關係,society.of.truelight,26/6,7:30-9pm,佐敦法國文化協會  (佐敦道 52 號),,【論壇——從哪裡談起？香港女同志的身份、連結與需要】 @society.of.truelight | 26/6 | 佐敦法國文化協會  (佐敦道 52 號)
Y,,Shakespeare Thribute Night: An Evening with the Bard,01. 與書相遇,jasleepoet,26/6,8pm,"3/F, Won Hing Building, 74-78 Stanley Street",,"【Shakespeare Thribute Night: An Evening with the Bard】 @jasleepoet | 26/6 | 3/F, Won Hing Building, 74-78 Stanley Street"
Y,,《她把小孩高舉過群盲朝著腳步聲方向前行》作品分享,07. 藝術野,ray___tlh,"26, 27, 29, 30/6",8pm,賽馬會創意藝術中心JCCAC 7樓12B，Room712,,"【《她把小孩高舉過群盲朝著腳步聲方向前行》作品分享】 @ray___tlh | 26, 27, 29, 30/6 | 賽馬會創意藝術中心JCCAC 7樓12B，Room712"
Y,,《活・埋》沙畫工作坊,11. 身心靈,breathingroom.hk,"26/6, 3/7",7:30-9pm,Breathing Room,,"【《活・埋》沙畫工作坊】 @breathingroom.hk | 26/6, 3/7 | Breathing Room"
Y,,建造綠色工作坊 - 墊上塑形普拉提,13. 運動下,cic.zcphk,"5/6, 26/6",7-8pm,建造業零碳天地,,"【建造綠色工作坊 - 墊上塑形普拉提】 @cic.zcphk | 5/6, 26/6 | 建造業零碳天地"
Y,,2D手繪動畫工作坊 ,07. 藝術野,filmculturecentre_hk,26/6-28/8,7-10pm,電影文化中心(香港) 會址,,【2D手繪動畫工作坊 】 @filmculturecentre_hk | 26/6-28/8 | 電影文化中心(香港) 會址
Y,,思那不可能：一個後現代神學概覽 │陳家富,11. 身心靈,vwlink.hk,"30/5, 6/6, 13/6, 20/6, 27/6, 4.7",7:30-9:30pm,online,,"【思那不可能：一個後現代神學概覽 │陳家富】 @vwlink.hk | 30/5, 6/6, 13/6, 20/6, 27/6, 4.7 | online"
Y,,健吓班囡囡,11. 身心靈,yot_youthspace,"20/6, 27/6, 4/7, 11/7, 18/7, 25/7, 1/8, 8/8",7:30-9:30pm,青年夢工場 YOUTH SPACE,,"【健吓班囡囡】 @yot_youthspace | 20/6, 27/6, 4/7, 11/7, 18/7, 25/7, 1/8, 8/8 | 青年夢工場 YOUTH SPACE"
Y,,來！和大自然交友 - 森林療癒小組,08. 環保與大自然,highrock_stewards,"20/6, 27/6, 11/7, 18/7",10am-12pm,香港神託會靈基營,,"【來！和大自然交友 - 森林療癒小組】 @highrock_stewards | 20/6, 27/6, 11/7, 18/7 | 香港神託會靈基營"
Y,,【區區有得唞】- 讓疲累的心歇一會的共修小聚,11. 身心靈,pause_breathe,27/6,7:30-8:45pm,灣仔/深水埗,,【【區區有得唞】- 讓疲累的心歇一會的共修小聚】 @pause_breathe | 27/6 | 灣仔/深水埗
Y,,靜觀律動工作坊,11. 身心靈,quarryside.hk,27/6,2:30-4:30pm,舍區 Quarryside,,【靜觀律動工作坊】 @quarryside.hk | 27/6 | 舍區 Quarryside
Y,,受壓迫者劇場： 解放與壓迫,07. 藝術野,book.punch,27/6,7:30-10pm,旺角,,【受壓迫者劇場： 解放與壓迫】 @book.punch | 27/6 | 旺角
Y,Free,破 ── 一人一故事劇場演出,07. 藝術野,hunter.bookstore,27/6,8pm,獵人書店,Snapinsta.app_448494629_489315940103551_2288902489323873974_n_1024,【破 ── 一人一故事劇場演出】 @hunter.bookstore | 27/6 | 獵人書店
Y,,【區區有得唞】- 讓疲累的心歇一會的共修小聚,11. 身心靈,pause_breathe,27/6,7:30-8:45pm,灣仔/深水埗,,【【區區有得唞】- 讓疲累的心歇一會的共修小聚】 @pause_breathe | 27/6 | 灣仔/深水埗
Y,Free,與多元公平共融對話 - 醫護人員及學生系列,09. 性別/關係,quarkshk,"27/6, 28/6",8-10:30pm,尖沙咀赫德道 8A 號 Mondrian Hong Kong 一樓,Snapinsta.app_447515103_18011017412426352_6570156823611853693_n_1024,"【與多元公平共融對話 - 醫護人員及學生系列】 @quarkshk | 27/6, 28/6 | 尖沙咀赫德道 8A 號 Mondrian Hong Kong 一樓"
Y,,夜間生態行,08. 環保與大自然,kfbg.official,"14/6, 28/6, 12/7, 26/7",,嘉道理農場暨植物園,,"【夜間生態行】 @kfbg.official | 14/6, 28/6, 12/7, 26/7 | 嘉道理農場暨植物園"
Y,,個個禮拜玩桌遊,17. 其他,yot_youthspace,"21/6, 28/6, 5/7, 12/7",8-10pm,青年夢工場 YOUTH SPACE,,"【個個禮拜玩桌遊】 @yot_youthspace | 21/6, 28/6, 5/7, 12/7 | 青年夢工場 YOUTH SPACE"
Y,,植物全接觸,08. 環保與大自然,kfbg.official,"21/6, 28/6",,嘉道理農場暨植物園,,"【植物全接觸】 @kfbg.official | 21/6, 28/6 | 嘉道理農場暨植物園"
Y,,【Nomads Trial and Error Vol.3】《重建共善：現代社羣關係的再想像》讀書會,,hk_nomads,28/6,8-10pm,@hunter.bookstore （深水埗）,,【【Nomads Trial and Error Vol.3】《重建共善：現代社羣關係的再想像》讀書會】 @hk_nomads | 28/6 | @hunter.bookstore （深水埗）
Y,,《尚未完場》私人包場,,walk.in.hong.kong,28/6,7:30-9:20pm,百老匯電影中心,,【《尚未完場》私人包場】 @walk.in.hong.kong | 28/6 | 百老匯電影中心
Y,,Ravi Campbell (NY),15. 音樂,fountaindechopin,28/6,8pm,Fountain,,【Ravi Campbell (NY)】 @fountaindechopin | 28/6 | Fountain
Y,,Handpan Workshow x 余地純素晚膳,15. 音樂,panlabhk,28/6,6-10pm,余地,,【Handpan Workshow x 余地純素晚膳】 @panlabhk | 28/6 | 余地
Y,,深「藏」不露：你不知道的青藏高原 by Travella,06. 留在香港 環遊世界,barlemna,28/6,7:30-9pm,Glasshouse Culture Area at Lemna of the alchemist,,【深「藏」不露：你不知道的青藏高原 by Travella】 @barlemna | 28/6 | Glasshouse Culture Area at Lemna of the alchemist
Y,,【大師傳藝·尋古知新系列講座】傳統文化藝術的現代啟示,04. 香港人/社區/文化,chbook.hk,28/6,7:30-9:30pm,香港太空館演講廳,,【【大師傳藝·尋古知新系列講座】傳統文化藝術的現代啟示】 @chbook.hk | 28/6 | 香港太空館演講廳
Y,,元渠環境考察隊「自然大步走」,08. 環保與大自然,yuenlong.river,28/6,2pm/4pm,元朗,,【元渠環境考察隊「自然大步走」】 @yuenlong.river | 28/6 | 元朗
Y,,《過度努力》讀書會,01. 與書相遇,sinceconceptstore,28/6,7:30-9pm,灣仔集成中心UG6號舖SINCE Concept Store,,【《過度努力》讀書會】 @sinceconceptstore | 28/6 | 灣仔集成中心UG6號舖SINCE Concept Store
Y,,余地純素晚膳,08. 環保與大自然,panlabhk,28/6,6-10pm,余地,,【余地純素晚膳】 @panlabhk | 28/6 | 余地
Y,,同志伴侶的未來?了解同志伴侶/配偶相關福利,09. 性別/關係,prideline22175959,28/6,8-9:30pm,油麻地,,【同志伴侶的未來?了解同志伴侶/配偶相關福利】 @prideline22175959 | 28/6 | 油麻地
Y,,六月親子故事屋——改變.由我開始,10. 親子關係,storylife.hk,28/6,8-9:15pm,online,,【六月親子故事屋——改變.由我開始】 @storylife.hk | 28/6 | online
Y,,小讀讀香港詩寫作坊：重寫性別故事,03.詩與詩相關的,littledoodoohk,28/6,8-9:30pm,界限書店,,【小讀讀香港詩寫作坊：重寫性別故事】 @littledoodoohk | 28/6 | 界限書店
Y,Free,網上對談「來回神話與現實之間：祖母綠在亞洲」,07. 藝術野,lecoleasiapacific,28/6,7pm,online,Snapinsta.app_448334409_1219347752381389_3040365303663846135_n_1024,
Y,,APAC 原豆朱古力市集,16. 市集,pmqtastelibrary,28/6-1/7,,PMQ 味道圖書館 Taste Library,,【APAC 原豆朱古力市集】 @pmqtastelibrary | 28/6-1/7 | PMQ 味道圖書館 Taste Library
Y,,藝術治療工作坊,11. 身心靈,arttherapyhk,"28/6, 29/6",7-8pm,online,,"【藝術治療工作坊】 @arttherapyhk | 28/6, 29/6 | online"
Y,,桌遊培訓實戰系列課程——從桌遊中找出不同主題解說技巧,17. 其他,empowernext,"28/6, 5, 12/7",6:45-9pm,天道書樓,,"【桌遊培訓實戰系列課程——從桌遊中找出不同主題解說技巧】 @empowernext | 28/6, 5, 12/7 | 天道書樓"
Y,,小書齋公開課程（一）——東亞佛教藝術初探,07. 藝術野,sslifeofthedays,28/6-23/8,7:30-9:30pm,小書齋,,【小書齋公開課程（一）——東亞佛教藝術初探】 @sslifeofthedays | 28/6-23/8 | 小書齋
Y,,RETRO FEST 3.0丨復古二手市集,16. 市集,freetureconcept,28-30/6,1:30-7:30pm,旺角上海街618號,,【RETRO FEST 3.0丨復古二手市集】 @freetureconcept | 28-30/6 | 旺角上海街618號
Y,,我港X街坊帶路：彩虹邨散步概念遊,05. 認識香港,kongcept852,"8/6, 15/6, 29/6",4-6pm,彩虹邨,,"【我港X街坊帶路：彩虹邨散步概念遊】 @kongcept852 | 8/6, 15/6, 29/6 | 彩虹邨"
Y,,兒童繪畫工作坊,10. 親子關係,truth.light.hk,"15/6, 29/6, 13/7",3-5pm,學基浸信會/中華宣道會長沙灣福盛堂/基督教香港信義會福樂堂,,"【兒童繪畫工作坊】 @truth.light.hk | 15/6, 29/6, 13/7 | 學基浸信會/中華宣道會長沙灣福盛堂/基督教香港信義會福樂堂"
Y,,【接棒未來】展覽第一部分：「過界」公眾導賞團,07. 藝術野,designspectrum.hk,"15/6, 29/6",,荔枝角長義街9號D2 Place一期7樓A室,,"【【接棒未來】展覽第一部分：「過界」公眾導賞團】 @designspectrum.hk | 15/6, 29/6 | 荔枝角長義街9號D2 Place一期7樓A室"
Y,,文藝字母湯 ——你不可不知道的藝術史！,07. 藝術野,jisaam.books,"15/6, 29/6, 6/7",8-9:30pm,貳叄書房(油麻地),,"【文藝字母湯 ——你不可不知道的藝術史！】 @jisaam.books | 15/6, 29/6, 6/7 | 貳叄書房(油麻地)"
Y,,荔枝窩農樂節 - 農地生態攝影開放日,08. 環保與大自然,cahk1968,"1/6, 15/6, 18/6, 29/6, 1/7",11am-12:30pm / 1:30-3pm,荔枝窩村農區,,"【荔枝窩農樂節 - 農地生態攝影開放日】 @cahk1968 | 1/6, 15/6, 18/6, 29/6, 1/7 | 荔枝窩村農區"
Y,,Beyond Music Night,,buskwithsax,29/6,8-10pm,cloud 9 music (屯門匯賢一號18樓15室),,【Beyond Music Night】 @buskwithsax | 29/6 | cloud 9 music (屯門匯賢一號18樓15室)
Y,,建造綠色工作坊 – 木工藍牙揚聲器,12. 整下野,cic.zcphk,29/6,2-5pm,建造業零碳天地,,【建造綠色工作坊 – 木工藍牙揚聲器】 @cic.zcphk | 29/6 | 建造業零碳天地
Y,,西式烘培廚房：食物模型工作坊,12. 整下野,ada_hongkong,29/6,2-4pm,賽馬會共融藝術工房,,【西式烘培廚房：食物模型工作坊】 @ada_hongkong | 29/6 | 賽馬會共融藝術工房
Y,,殘疾藝術駐留：身體感知工作坊,07. 藝術野,art_is_land,29/6,1:30-3:30pm,香港逸東酒店,,【殘疾藝術駐留：身體感知工作坊】 @art_is_land | 29/6 | 香港逸東酒店
Y,,Busking @ HBL,15. 音樂,hbl60516015,29/6,7-9pm,Head Boys’ Lounge,,【Busking @ HBL】 @hbl60516015 | 29/6 | Head Boys’ Lounge
Y,,Queer Reads Friends Market,09. 性別/關係,queer_reads_library,29/6,1-7pm,1/F @eaton.hk,,【Queer Reads Friends Market】 @queer_reads_library | 29/6 | 1/F @eaton.hk
Y,,非洲文化體驗工作坊——東加籃子編織,06. 留在香港 環遊世界,lecpamacau,29/6,2-3pm,本穴 Native Cave,,【非洲文化體驗工作坊——東加籃子編織】 @lecpamacau | 29/6 | 本穴 Native Cave
Y,,非洲文化體驗工作坊——品嚐埃塞俄比亞咖啡、介紹對黑人的文化挪用和禁忌,06. 留在香港 環遊世界,lecpamacau,29/6,3:30-4:30pm,本穴 Native Cave,,【非洲文化體驗工作坊——品嚐埃塞俄比亞咖啡、介紹對黑人的文化挪用和禁忌】 @lecpamacau | 29/6 | 本穴 Native Cave
Y,,非洲文化體驗工作坊——非洲音樂體驗工作坊,06. 留在香港 環遊世界,lecpamacau,29/6,5-6pm,本穴 Native Cave,,【非洲文化體驗工作坊——非洲音樂體驗工作坊】 @lecpamacau | 29/6 | 本穴 Native Cave
Y,,綢衣人偶紥作手藝工作坊,12. 整下野,luenwomarket.hk,29/6,2-6pm,聯和趁墟,,【綢衣人偶紥作手藝工作坊】 @luenwomarket.hk | 29/6 | 聯和趁墟
Y,,《遊樂人間》 — 唐書堯木笛音樂會,15. 音樂,tongsheeyiu,29/6,4pm / 7:30pm,鰂魚涌英皇道 1001 號 22 樓全層 (君匠音樂),,【《遊樂人間》 — 唐書堯木笛音樂會】 @tongsheeyiu | 29/6 | 鰂魚涌英皇道 1001 號 22 樓全層 (君匠音樂)
Y,,一本讀書會×香港中和出版 讀職場：十年四季——給職場新鮮人的閱讀建議,01. 與書相遇,sinounitedpublishing,29/6,3:30-5pm,三聯書店灣仔文化生活薈 3 樓 afterword lounge 專注空間,,【一本讀書會×香港中和出版 讀職場：十年四季——給職場新鮮人的閱讀建議】 @sinounitedpublishing | 29/6 | 三聯書店灣仔文化生活薈 3 樓 afterword lounge 專注空間
Y,,香港文學雜誌看香港文學 Vol.2《Sample樣本》,01. 與書相遇,abc.abookclub,29/6,2:30-4pm,閱讀俱樂部,,【香港文學雜誌看香港文學 Vol.2《Sample樣本》】 @abc.abookclub | 29/6 | 閱讀俱樂部
Y,,「城市文學散步」#6——天橋上看風的形狀,05. 認識香港,diaspora_explorer,29/6,2:30-4:40pm,維城文化辦公室,,【「城市文學散步」#6——天橋上看風的形狀】 @diaspora_explorer | 29/6 | 維城文化辦公室
Y,,Kenyan Night,06. 留在香港 環遊世界,africacenterhk,29/6,5:30-8:30pm,Africa Center HK,,【Kenyan Night】 @africacenterhk | 29/6 | Africa Center HK
Y,,Sparkle首場小型音樂會,15. 音樂,sparklemusic.hk,29/6,8pm,觀塘海濱道 133 號萬兆豐中心 10 樓 E 室,,【Sparkle首場小型音樂會】 @sparklemusic.hk | 29/6 | 觀塘海濱道 133 號萬兆豐中心 10 樓 E 室
Y,,琴拳動靜唯一意,13. 運動下,cahk1968,29/6,2:30-4:30pm,賽馬會 - ⾧春社綠滿林廊,,【琴拳動靜唯一意】 @cahk1968 | 29/6 | 賽馬會 - ⾧春社綠滿林廊
Y,,跨性別青少年支援研討會,09. 性別/關係,gender.empowerment.hk,29/6,2:30-4:30pm,香港逸東酒店 1/F Kino Lounge,,【跨性別青少年支援研討會】 @gender.empowerment.hk | 29/6 | 香港逸東酒店 1/F Kino Lounge
Y,,「未知死，焉知生？」生死教育之行,11. 身心靈,skylab.bgca,29/6,1:45-4pm,葵涌火葬場,,【「未知死，焉知生？」生死教育之行】 @skylab.bgca | 29/6 | 葵涌火葬場
Y,,「暮齡自在」舞蹈教育計劃——跨代社區展演 / 工作坊成果展覽,07. 藝術野,pod_jc_elderlydance,29/6,,AIRSIDE 1/F,,【「暮齡自在」舞蹈教育計劃——跨代社區展演 / 工作坊成果展覽】 @pod_jc_elderlydance | 29/6 | AIRSIDE 1/F
Y,,客家糯米糍 谷埔客廳 工作坊,04. 香港人/社區/文化,kukpo.vision,29/6,11am-12pm,谷埔客廳,,【客家糯米糍 谷埔客廳 工作坊】 @kukpo.vision | 29/6 | 谷埔客廳
Y,,矛盾與想像之城——《將軍澳，可以這麼說》新書分享會,01. 與書相遇,boundary.bookstore,29/6,3-4:30pm,界限書店,,【矛盾與想像之城——《將軍澳，可以這麼說》新書分享會】 @boundary.bookstore | 29/6 | 界限書店
Y,,藝術速畫工作坊,07. 藝術野,urbanroom.social,29/6,2-3:30pm / 4:5:30pm,Urban Room 城舍,,【藝術速畫工作坊】 @urbanroom.social | 29/6 | Urban Room 城舍
